2023-10-02 17:23:33.259 | INFO     | ess.views:login:126 - 用户 guoweitao&郭卫焘 登录成功!
2023-10-02 17:23:33.259 | INFO     | ess.views:login:126 - 用户 guoweitao&郭卫焘 登录成功!
2023-10-02 17:36:30.799 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:36:30.799 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:41:52.242 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:41:52.242 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:41:52.581 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:41:52.581 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:44:07.750 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:44:07.750 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:44:07.781 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:44:07.781 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:46:04.721 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:46:04.721 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:46:04.751 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:46:04.751 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:46:23.268 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:46:23.268 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:46:23.280 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:46:23.280 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:48:44.893 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:48:44.893 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:48:44.905 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:48:44.905 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:49:16.164 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:49:16.164 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:49:16.199 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:49:16.199 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:49:32.775 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:49:32.775 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:49:32.787 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:49:32.787 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:52:49.426 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:52:49.426 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:52:49.525 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:52:49.525 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:54:00.558 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:54:00.558 | WARNING  | ess.views:check_task:1084 - 请联系管理员添加该项目的预算!
2023-10-02 17:54:00.620 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 17:54:00.620 | WARNING  | ess.mes:wb_dingtalk:573 - 企业微信机器人还没有配置喔！
2023-10-02 19:16:25.764 | INFO     | ess.views:login:125 - 用户 guoweitao&郭卫焘 登录成功!
2023-10-02 19:27:14.352 | INFO     | ess.views:login:125 - 用户 guoweitao&郭卫焘 登录成功!
